
article,ver,lang,name,length,colors,diameter
381305,,EN,Standard Carbon,105-135,carbon/blue,13 mm
381784,,EN,Porsche Carbon,105-140,carbon/black/white,"12,3 mm"
381205,,EN,Worldcup Rebels Carbon,105-140,white/black/speed blue,"12,3 mm"
381215,,EN,Worldcup Rebels Carbon,105-140,speed blue/black/white,"12,3 mm"
381055,,EN,Worldcup SG ,110-135,white/black/speed blue,18 mm
381065,,EN,Worldcup SG JR,90-110,white/black/speed blue,16 mm
381075,,EN,Worldcup SL,110- 140,white/black/speed blue,18 mm
381175,,EN,Worldcup SL,110- 140,speed blue/black/white,18 mm
381085,,EN,Worldcup SL JR,90-110,white/black/speed blue,16 mm
381340,,EN,HEAD WC SL Protector,"n, a",white/black,
381765,,EN,JOY white grey,105-125,grey/white,16 mm
381195,,EN,KORE Freeride,105-135,metallic sand/black,18 mm
381105,,EN,KORE Free Tour,Adjustable from 105 to 140,metallic sand/black,18/16 mm
381114,,EN,CRUX Carbon,Adjustable 105 to 140,carbon/reflective,16/14 mm
381224,,EN,CRUX Aluminum,Adjustable from 105 to 140,aluminum/anthracite,18/16 mm
381294,,EN,Oblivion,100-115,black/white,18 mm
381555,,EN,Frontside black white,105-135,black/grey,18 mm
381185,,EN,Frontside black speed blue,105-135,black/speed blue,18 mm
381125,,EN,Frontside black red,105-135,black/red,18 mm
381165,,EN,Frontside black green,105-135,black/green,18 mm
381545,,EN,Frontside black blue,105-135,black/blue,18 mm
381864,,EN,MULTI grey white,105-135,grey/white,18 mm
381842,,EN,MULTI neon yellow black,105-135,black/neon yellow,18 mm
381852,,EN,MULTI black black,105-135,black/black,18 mm
381803,,EN,MULTI black speed blue,105-135,black/speed blue,18 mm
381695,,EN,JOY white,105-125,white,16 mm
381685,,EN,JOY  black,105-125,black,16 mm
381965,,EN,Supershape Team,70-110,white/black/speed blue,14 mm
381975,,EN,Supershape Team adjustable,Adjustable from 85 to 110,white/black/speed blue,16/14 mm
381385,,EN,KORE Team,80-105,metallic sand/black,14 mm
381635,,EN,JOY girl,80-105,blue/white,14 mm
381625,,EN,Monster Team,80-105,black/white,14 mm
381894,,EN,Multi Pole Box,Mixed sizes,black/black ; black/speed blue,18 mm
381885,,EN,Decathlon MULTI SMU,105-135,white/speed blue,18 mm
381138,,EN,Carabinieri SMU,120-135,blue/red,18 mm
381115,,EN,Gucci pole,Adjustable 105 to 140,carbon/reflective,16/14 mm
388012,,EN,KORE Free Tour Basket,,black,90mm
383005,,EN,Rebels Travelbag ,,black/white,
383015,,EN,Rebels Backpack,,black/white,
383025,,EN,Rebels Double Skibag,,black/white,
383935,,EN,Rebels Single Skibag,,black/white,
383955,,EN,Rebels Single Skibag Short,,black/white,
383035,,EN,Rebels Racing Backpack L,,black/white,
383045,,EN,Rebels Racing Backpack S,,black/white,
383925,,EN,Rebels Boot Carry On,,black/white,
383965,,EN,Rebels Coaches Backpack,,black/white,
383193,,EN,Heatable Bootbag,,black,
383273,,EN,SMU 3 Pairs RD Skibag,,black/speed blue,
383283,,EN,SMU 4 Pair RD Skibag,,black/speed blue,
383293,,EN,SMU 4 Pair RD Skibag Short,,black/speed blue,
383972,,EN,Porsche Skibag,,black,
383994,,EN,Porsche Skibag 195cm,,black,
383054,,EN,Single Skibag ,,black,
383904,,EN,Single Skibag ,,black,
383064,,EN,Double Skibag,,black,
383914,,EN,Double Skibag,,black,
383074,,EN,Bootbag,,black,
383084,,EN,Boot Backpack,,black,
383944,,EN,Single Skibag Short,,black,
383094,,EN,Boot Carry On,,black,
383404,,EN,The Simple Skibag,,black grey,
383185,,EN,Women's Backpack,,plum,
383155,,EN,Women's Single Skibag,,plum,
383175,,EN,Women's Bootbag,,plum,
383304,,EN,CX 30+ Backpack white,,white,
383314,,EN,CX 30+ Backpack black,,black,
383105,,EN,KORE Backpack,,black,
383145,,EN,KORE Bootbag,,black,
383125,,EN,Freeride Single Skibag,,black,
383135,,EN,Freeride Double Skibag,,black,
383115,,EN,Freeride Travelbag,,black,
383584,,EN,Boot Backpack Jr.,,Black Speed Blue,
383504,,EN,Skibag Jr.,,Black Speed Blue,
383983,,EN,Boot Backpack,,Black Speed Blue,
383403,,EN,The Simple Skibag SMU ES,,black grey,
388384,,EN,CRUX 105 Touring Skins L,184 cm (L),sand,
388394,,EN,CRUX 105 Touring Skins M,"170, 177 cm (M)",sand,
388404,,EN,CRUX 99 Touring Skins L,"177, 184 cm (L)",sand,
388414,,EN,CRUX 99 Touring Skins M,"163, 170 cm (M)",sand,
388434,,EN,CRUX 93 Touring Skins L,"177, 184 cm (L)",sand,
388444,,EN,CRUX 93 Touring Skins M,"163, 170 cm (M)",sand,
388464,,EN,CRUX 87 Touring Skins L,"177, 184 cm (L)",sand,
388474,,EN,CRUX 87 Touring Skins M,"163, 170 cm (M)",sand,
388454,,EN,CRUX 87 Touring Skins S,"149, 156 cm (S)",sand,
388424,,EN,CRUX 81 Touring Skins L,"177, 184 cm (L)",sand,
388484,,EN,CRUX 81 Touring Skins M,"163, 170 cm (M)",sand,
388494,,EN,CRUX 81 Touring Skins S,"149, 156 cm (S)",sand,
388504,,EN,HEAD Touring Skins L Untrimmed,180 - 191 cm (L),sand,
388514,,EN,HEAD Touring Skins M Untrimmed,170 - 179 cm (M),sand,
388524,,EN,HEAD Touring Skins S Untrimmed,160 - 169 cm (S),sand,
