article,ver.lang,category,name,stand_height,din,weight
100904,EN,RACE,FREEFLEX ST 16,17 mm,5 - 16,1325 g/pc.
100905,EN,RACE,FREEFLEX ST 14,17 mm,4 - 14,1235 g/pc.
100906,EN,RACE,FREEFLEX 11 RACE,17 mm,3 - 11,1110 g/pc.
100907,EN,RACE,FREEFLEX 14 GW,21 mm,4 - 14,1160 g/pc.
100908,EN,RACE,FREEFLEX 11 GW,21 mm,3 - 11,1135 g/pc.
100909,EN,RACE,FREEFLEX DEMO 14 GW,21 mm,4 - 14,1325 g/pc.
114300,EN,RACE,FREEFLEX DEMO 14 GW,21 mm,4 - 14,1325 g/pc.
100925,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
100926,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
100927,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
100928,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
100955,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
100956,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,1180 g/pc.
114504,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,2370 g
114505,EN,ONPIST,PROTECTOR PR 13 GW,"33,5 mm",4 - 13,2370 g
114506,EN,ONPIST,PROTECTOR PR 13 GW SET,"33,5 mm",4 - 13,1405 g/pc.
114507,EN,ONPIST,PROTECTOR PR 13 GW SET,"33,5 mm",4 - 13,1405 g/pc.
114545,EN,ONPIST,PROTECTOR PR 13 GW SET,"33,5 mm",4 - 13,1405 g/pc.
114508,EN,ONPIST,PROTECTOR PR 11 GW,"33,5 mm",3 - 11,1175 g/pc.
114509,EN,ONPIST,PROTECTOR PR 11 GW,"33,5 mm",3 - 11,1175 g/pc.
114510,EN,ONPIST,PROTECTOR PR 11 GW SET,"33,5 mm",3 - 11,1400 g/pc.
114511,EN,ONPIST,PROTECTOR PR 11 GW SET,"33,5 mm",3 - 11,1400 g/pc.
