
article,category,name,flex,sizes,colors,shell,ergo_balance,forward_lean,ramp_angle,last1,last2,size
605001,BOOTS,RAPTOR M5 RV,170/160,"225,235,285",White,Racing PU,Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605006,BOOTS,RAPTOR WCR 2 RV,160/150,"225,235,285",White,Racing PU,Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605009,BOOTS,RAPTOR WCR 3 RV,150/140,"225,235,285",White,Racing PU,Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605019,BOOTS,RAPTOR WCR 4 RV,130/120,"225,235,285",White,Racing PU,Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605023,BOOTS,RAPTOR WCR 5 SC RV,110/100,"225,235,275",White,PU - (SHORT CUFF),Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605025,BOOTS,RAPTOR WCR 6 SC RV,90/80,"225,235,275",White,PU - (SHORT CUFF),Race balance,13°,4°,RV 1500cc,91: 93: 95,"25.5,26.5,27.5"
605030,BOOTS,RAPTOR WCR 140S PV,150/140,"220,225,300,305",White,PU,Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605033,BOOTS,RAPTOR WCR 130S PV,140/130,"220,225,300,305",Speedblue,PU,Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605042,BOOTS,RAPTOR WCR 120 PV,130/120,"220,225,300,305",White,PU,Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605043,BOOTS,RAPTOR  WCR 120S PV,130/120,"220,225,300,305",White,PU,Race balance,13°,4°,PV 1750cc,94: 96: 98,"25.5,26.5,27.5"
605055,BOOTS,RAPTOR WCR 115 W PV,125/115,"220,225,270,275",Grey,PU - (SHORT CUFF),Race balance,12°,4°,PV 1750cc,92: 94: 96,"24.5,25.5,26.5"
605057,BOOTS,RAPTOR  WCR 95 W PV,105/95,"220,225,270,275",Anthracite,PU - (SHORT CUFF),Race balance,13°,4°,PV 1750cc,92: 94: 96,"24.5,25.5,26.5"
604108,BOOTS,FORMULA 130 LV GW,140/130,"250,255,300,305",Black-speedblue,PU,Race balance,12°,4°,PV 1800cc,96: 98/LV: 100,"25.5,26.5,27.5"
604121,BOOTS,FORMULA 120 LV GW,130/120,"250,255,300,305",Black-white,PU,Race balance,12°,4°,PV 1800cc,96: 98/LV: 100,"25.5,26.5,27.5"
