
article,ver,lang,name,sizes,colors,visor
373045,,EN,DOWNFORCE FITTING KIT,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
373035,,EN,CHINGUARD,one size fits all,black,
325560,,EN,VALERY,"XS, S (52-55 cm), M, L (56-59 cm)",white,
323011,,EN,RADAR 5K PHOTO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"5K photo: S1 - S3, VLT 46 - 16%"
323601,,EN,REV MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",MIPS black,
323611,,EN,REV,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
323711,,EN,RITA,"XS, S (52-55 cm), M, L (56-59 cm)",white,
324521,,EN,VICO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
324551,,EN,VICO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
326301,,EN,COMPACT PRO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
323332,,EN,RADAR 5K MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"5K red: S2, VLT 28%"
328622,,EN,MOJO,"XXS (47-51 cm), XS, S (52-56 cm)",black,
328722,,EN,MAJA,"XXS (47-51 cm), XS, S (52-56 cm)",white,
320223,,EN,DOWNFORCE,"XS (52-53 cm), S (54-55 cm), M (56-57 cm), L (58-59 cm), XL (60-61 cm), XXL (62-63 cm)",white,
320333,,EN,DOWNFORCE JR,"XS (52-53 cm), S (54-55 cm), M (56-57 cm)",black,
320413,,EN,TEAM SL,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white/black,
323113,,EN,RADAR PHOTO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",anthracite,"Photo green: S1 - S3, VLT 46 - 16%"
323433,,EN,RADAR,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",WCR,"Silver/red: S2, VLT 20%"
323643,,EN,REV,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",WCR,
326423,,EN,COMPACT PRO W,"XS, S (52-55 cm), M, L (56-59 cm)",white,
326463,,EN,COMPACT EVO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
326513,,EN,COMPACT EVO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
326523,,EN,COMPACT EVO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightblue,
326713,,EN,COMPACT EVO W,"XS, S (52-55 cm), M, L (56-59 cm)",white,
328113,,EN,MOJO VISOR PAW,"XXS (47-51 cm), XS, S (52-56 cm)",MOJO VISOR PAW,"Silver/red: S2, VLT 20%"
328163,,EN,MAJA VISOR PAW,"XXS (47-51 cm), XS, S (52-56 cm)",MAJA VISOR PAW,"Silver/red: S2, VLT 20%"
328513,,EN,MOJO PAW SET,"XXS (47-51 cm), XS, S (52-56 cm)",MOJO PAW SET,
328523,,EN,MAJA PAW SET,"XXS (47-51 cm), XS, S (52-56 cm)",MAJA PAW SET,
323423,,EN,RADAR,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"Silver/red: S2, VLT 20%"
323513,,EN,RACHEL,"XS, S (52-55 cm), M, L (56-59 cm)",white,"Silver/red: S2, VLT 20%"
322414,,EN,RADAR RETHINK,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"Silver/red: S2, VLT 20%"
322614,,EN,REV RETHINK,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
323004,,EN,PORSCHE RADAR 5K PHOTO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"5K photo green: S1 - S3, VLT 46 - 16%"
326024,,EN,CINEMA PHOTO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"Photo green: S1 - S3, VLT 46 - 16%"
326104,,EN,CINEMA PRO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"Red/yellow: S2, VLT 28%"
326164,,EN,CINEMA PRO W,"XS, S (52-55 cm), M, L (56-59 cm)",grey,"Red/yellow: S2, VLT 28%"
326214,,EN,CINEMA,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,"Silver/red: S2, VLT 20%"
326264,,EN,CINEMA W,"XS, S (52-55 cm), M, L (56-59 cm)",white,"Silver/red: S2, VLT 20%"
328224,,EN,MOJO Visor,"XXS (47-51 cm), XS, S (52-56 cm)",MOJO VISOR black,"Silver/red: S2, VLT 20%"
328234,,EN,MOJO Visor,"XXS (47-51 cm), XS, S (52-56 cm)",MOJO VISOR blue/green,"Silver/red: S2, VLT 20%"
328324,,EN,MAJA Visor,"XXS (47-51 cm), XS, S (52-56 cm)",MAJA VISOR white,"Silver/red: S2, VLT 20%"
328334,,EN,MAJA Visor,"XXS (47-51 cm), XS, S (52-56 cm)",MAJA VISOR pink/blue,"Silver/red: S2, VLT 20%"
328664,,EN,MOJO SET,"XXS (47-51 cm), XS, S (52-56 cm)",MOJO SET blue/green,
328734,,EN,MAJA SET,"XXS (47-51 cm), XS, S (52-56 cm)",MAJA SET pink/blue,
320115,,EN,DOWNFORCE MIPS RD,"XS (52-53 cm), S (54-55 cm), M (56-57 cm), L (58-59 cm), XL (60-61 cm), XXL (62-63 cm)",VIS,
320125,,EN,DOWNFORCE MIPS RD,"XS (52-53 cm), S (54-55 cm), M (56-57 cm), L (58-59 cm), XL (60-61 cm), XXL (62-63 cm)",white,
320315,,EN,DOWNFORCE JR,"XS (52-53 cm), S (54-55 cm), M (56-57 cm)",VIS,
323345,,EN,RADAR 5K MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white,"5K red: S2, VLT 28%"
323245,,EN,RADAR 5K,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",moss,5K green S2/28%
323285,,EN,RACHEL 5K,"XS, S (52-55 cm), M, L (56-59 cm)",plum,5K red S2/28%
323525,,EN,RACHEL,"XS, S (52-55 cm), M, L (56-59 cm)",grey,"Silver/red: S2, VLT 20%"
323445,,EN,RADAR,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightpetrol,"Silver/red: S2, VLT 20%"
323655,,EN,REV,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightpetrol,
323725,,EN,RITA,"XS, S (52-55 cm), M, L (56-59 cm)",grey,
325205,,EN,FAERO EXP RETHINK,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",,
325155,,EN,PORSCHE FAERO EXP MIPS,"XS, S (52-55 cm), M, L (56-59cm), XL, XXL (60-63cm)",black,
325185,,EN,FAERO EXP MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
325195,,EN,FAERO EXP MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white,
325175,,EN,FAERO EXP MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",team,
325245,,EN,FAERO EXP MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightpetrol,
325255,,EN,FAERO EXP,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
325265,,EN,FAERO EXP,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightpetrol,
325355,,EN,FAERO PRO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
325365,,EN,FAERO PRO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white,
325375,,EN,FAERO PRO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",WCR,
325425,,EN,FAERO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
325435,,EN,FAERO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white,
325445,,EN,FAERO MIPS,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",sand,
325455,,EN,FAERO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",black,
325465,,EN,FAERO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",white,
325475,,EN,FAERO,"XS, S (52-55 cm), M, L (56-59 cm), XL, XXL (60-63 cm)",nightpetrol,
