article,ver.lang,category,name,length,radius,sidecut,plate,binding
313005,EN,RACE,WCR e-GS Rebel FIS,"183,188,193","30,5 @ Length 193",101/65/84 @ Length 193,RACEPLATE WCR 14 SHORT,100900
313005.183,EN,RACE,WCR e-GS Rebel FIS,"183,188,193","30,5 @ Length 183",99/65/81 @ Length 183,RACEPLATE WCR 14 SHORT,100900
313005.188,EN,RACE,WCR e-GS Rebel FIS,"183,188,193",,,RACEPLATE WCR 14 SHORT,100900
313045,EN,RACE,WCR e-GS Rebel,"176,181,186,188","25,0 @ Length 181",102/65/86 @ Length 181,RACEPLATE WCR 14 SHORT,100902
313045.188,EN,RACE,WCR e-GS Rebel,"176,181,186,188",,,RACEPLATE WCR 14 SHORT,100902
313055,EN,RACE,WCR e-GS Rebel,"176,181","25,0 @ Length 181",102/65/86 @ Length 181,RACEPLATE WCR Team,100903
313065,EN,RACE,WCR e-GS Rebel Pro,"177,183,189,191","25,4 @ Length 183",104/68/89 @ Length 183,RACEPLATE WCR 14 SHORT,100900
313065.191,EN,RACE,WCR e-GS Rebel Pro,"177,183,189,191",,,RACEPLATE WCR 14 SHORT,100900
313025,EN,RACE,WCR e-SL Rebel,151,"11,9 @ Length 151",111/65/96 @ Length 151,RACEPLATE WCR 14 SHORT,100903
313085,EN,RACE,WCR e-SL Rebel FIS,"156,158,165,168","12,8 @ Length 168",119/68/103 @ Length 168,RACEPLATE WCR 14 SHORT,100900
313085.165,EN,RACE,WCR e-SL Rebel FIS,"156,158,165,168","12,0 @ Length 165",120/67/104 @ Length 165,RACEPLATE WCR 14 SHORT,100900
313085.158,EN,RACE,WCR e-SL Rebel FIS,"156,158,165,168","11,5 @ Length 158",113/66/102 @ Length 158,RACEPLATE WCR 14 SHORT,100900
313085.156,EN,RACE,WCR e-SL Rebel FIS,"156,158,165,168","12,4 @ Length 156",114/66/100 @ Length 156,RACEPLATE WCR 14 SHORT,100900
318005,EN,RACE,WCR e-DH Rebel,218,"50,0 @ Length 218",92/65/80 @ Length 218,DH RACEPLATE,100901
318015,EN,RACE,WCR e-DH Rebel,215,"50,0 @ Length 215",92/65/79 @ Length 215,DH RACEPLATE,100901
318025,EN,RACE,WCR e-DH Rebel,210,"50,0 @ Length 210",91/65/78 @ Length 210,DH RACEPLATE,100901
318035,EN,RACE,WCR e-SG Rebel,213,"45,0 @ Length 213",95/65/79 @ Length 213,DH RACEPLATE,100901
318115,EN,RACE,WCR e-SG Rebel,210,"42,5 @ Length 210",96/65/81 @ Length 210,DH RACEPLATE,100901
318045,EN,RACE,WCR e-SG Rebel W,207,"42,0 @ Length 207",95/65/80 @ Length 207,DH RACEPLATE,100901
318055,EN,RACE,WCR e-SG Rebel M,207,"45,5 @ Length 207","93,5/65/78 @ Length 207",DH RACEPLATE,100901
318065,EN,RACE,WCR e-SG Rebel,202,"40,5 @ Length 202",95/65/79 @ Length 202,DH RACEPLATE,100901
318075,EN,RACE,WCR e-SG Rebel,200,"36,0 @ Length 200",97/65/81 @ Length 200,RACEPLATE WCR 14 SHORT,100901
318085,EN,RACE,WCR e-SG Rebel,195,"33,0 @ Length 195",98/65/82 @ Length 195,RACEPLATE WCR 14 SHORT,100901
318095,EN,RACE,WCR e-SG Rebel,185,"30,0 @ Length 185",98/65/81 @ Length 185,RACEPLATE WCR 14 SHORT,100901
318105,EN,RACE,WCR e-SG Rebel,175,"27,0 @ Length 175",93/65/82 @ Length 175,RACEPLATE WCR 14 SHORT,100901
313105,EN,RACE,WCR e-GS Rebel FIS RR SW RP WCR 14,193,"30,5 @ Length 193",101/65/84 @ Length 193,,
313105.188,EN,RACE,WCR e-GS Rebel FIS RR SW RP WCR 14,188,"30,5 @ Length 183",99/65/81 @ Length 183,,
313115,EN,RACE,WCR e-SL Rebel FIS RR SW RP WCR 14,158,"11,5 @ Length 158",113/66/102 @ Length 158,,
313115.165,EN,RACE,WCR e-SL Rebel FIS RR SW RP WCR 14,165,"12,0 @ Length 165",120/67/104 @ Length 165,,
313115.156,EN,RACE,WCR e-SL Rebel FIS RR SW RP WCR 14,156,"12,4 @ Length 156",114/66/100 @ Length 156,,
313235,EN,PERFORMANCE,Worldcup Rebels e-SL Pro,"150,155,160,165,170","12,0 @ Length 160",122/68/107 @ Length 160,RACEPLATE WCR 14 SHORT,100904
313205,EN,PERFORMANCE,Worldcup Rebels e-SL,"150,155,160,165,170","12,0 @ Length 160",122/68/107 @ Length 160,RACEPLATE EVO 14,100907
313225,EN,PERFORMANCE,Worldcup Rebels e-Speed Pro,"170,175,180,185","20,5 @ Length 180",108/65/93 @ Length 180,RACEPLATE WCR 14 SHORT,100904
313245,EN,PERFORMANCE,Worldcup Rebels e-Speed,"165,170,175,180,185","18,2 @ Length 180",114/68/99 @ Length 180,RACEPLATE EVO 14,100905
313255,EN,PERFORMANCE,Worldcup Rebels e-Race Pro,"160,165,170,175,180","14,8 @ Length 170",117/68/102 @ Length 170,RACEPLATE WCR 14 SHORT,100904
313265,EN,PERFORMANCE,Worldcup Rebels e-Race,"160,165,170,175,180","14,8 @ Length 170",117/68/102 @ Length 170,RACEPLATE EVO 14,100905
313395,EN,PERFORMANCE,Supershape e-Original,"149,156,163,170","12,1 @ Length 170",125/66/108 @ Length 170,Better Balance PR Base,100925
313325,EN,PERFORMANCE,Supershape e-Speed,"156,163,170,177,184","14,0 @ Length 170",119/68/102 @ Length 170,Better Balance PR Base,100925
313305,EN,PERFORMANCE,Supershape e-Magnum,"149,156,163,170,177","13,1 @ Length 170",126/72/110 @ Length 170,Better Balance PR wide Base,100925
313345,EN,PERFORMANCE,Supershape e-Rally,"156,163,170,177,184","14,0 @ Length 170",128/78/112 @ Length 170,Better Balance PR wide Base,100925
313285,EN,PERFORMANCE,Supershape e-Titan,"156,163,170,177,184","15,7 @ Length 170",129/84/113 @ Length 170,Better Balance PR wide Base,100926
313385,EN,PERFORMANCE,Worldcup Rebels e.GSR,"156,163,170,177","14,4 @ Length 170",120/68/101 @ Length 170,LYT PR Base,100911
313365,EN,PERFORMANCE,Worldcup Rebels e.SLR,"149,156,163,170","11,2 @ Length 163",123/66/107 @ Length 163,LYT PR Base,100911
313415,EN,PERFORMANCE,Worldcup Rebels e.XSR,"149,156,163,170,177","12,9 @ Length 170",125/72/109 @ Length 170,LYT PR Base,100911
313495,EN,PERFORMANCE,Worldcup Rebels XR,"142,149,156,163,170,177","12,6 @ Length 170",128/74/112 @ Length 170,LYT PR Base,100911
313615,EN,PERFORMANCE,Porsche 8 Series,"163,170,177","13,5 @ Length 170",130/88/124 @ Length 170,Better Balance PR Base wide,100956
313635,EN,PERFORMANCE,Porsche 7 Series,"156,163,170,177","13,1 @ Length 170",124/70/109 @ Length 170,Better Balance PR Base,100955
313665,EN,PERFORMANCE,Standard,"163,170,177","13,1 @ Length 170",124/70/109 @ Length 170,Better Balance PR Base,100958
315145,EN,ALL MOUNTAIN,KORE X 90,"156,163,170,177,184","14,7 @ Length 170",130/91/113 @ Length 170,,114449
315195,EN,ALL MOUNTAIN,KORE X 90 LYT-PR,"156,163,170,177,184","14,7 @ Length 170",130/91/113 @ Length 170,LYT PR Base,114469
315155,EN,ALL MOUNTAIN,KORE X 85,"156,163,170,177,184","14,8 @ Length 170",127/85/108 @ Length 170,,114449
315175,EN,ALL MOUNTAIN,KORE X 85 LYT-PR,"156,163,170,177,184","14,8 @ Length 170",127/85/108 @ Length 170,LYT PR Base,114469
315165,EN,ALL MOUNTAIN,KORE X 80 LYT-PR,"149,156,163,170,177","13,2 @ Length 170",126/80/106 @ Length 170,LYT PR Base,114352
315125,EN,ALL MOUNTAIN,KORE X 78 LYT-PR,"149,156,163,170,177","12,7 @ Length 170",126/78/105 @ Length 170,LYT PR Base,114352
315115,EN,ALL MOUNTAIN,KORE X 74 LYT-PR,"142,149,156,163,170,177","12,6 @ Length 170",128/74/112 @ Length 170,LYT PR Base,114352
315205,EN,ALL MOUNTAIN,Shape e-V10,"149,156,163,170,177","13,6 @ Length 170",139/85/121 @ Length 170,All Mountain PR Base,114509
315225,EN,ALL MOUNTAIN,Shape e-V8,"149,156,163,170,177","13,2 @ Length 170",130/75/112 @ Length 170,All Mountain PR Base,114508
315255,EN,ALL MOUNTAIN,Shape e.V5,"149,156,163,170,177","13,0 @ Length 170",128/74/109 @ Length 170,All Mountain PR Base,100942
315275,EN,ALL MOUNTAIN,Shape V4,"149,156,163,170,177","13,0 @ Length 170",128/74/109 @ Length 170,All Mountain PR Base,100942
315285,EN,ALL MOUNTAIN,Shape V2,"142,149,156,163,170,177","12,5 @ Length 170",128/70/108 @ Length 170,All Mountain PR Base,100942
315405,EN,FREESKI,KORE 118 Ti,"177,184,191","24,3 @ Length 184",145/118/130 @ Length 184,,114632
315415,EN,FREESKI,KORE 112 Ti,"170,177,184,191","21,0 @ Length 184",140/112/128 @ Length 184,,114641
315425,EN,FREESKI,KORE 106 Ti,"163,170,177,184,191","18,5 @ Length 184",135/106/127 @ Length 184,,114646
315435,EN,FREESKI,KORE 100 Ti,"156,163,170,177,184,191","17,2 @ Length 177",133/100/122 @ Length 177,,114649
315445,EN,FREESKI,KORE 94 Ti,"156,163,170,177,184,191","16,3 @ Length 177",131/94/116 @ Length 177,,114635
315455,EN,FREESKI,KORE 88 Ti,"156,163,170,177,184,191","16,0 @ Length 177",128/88/112 @ Length 177,,114651
315465,EN,FREESKI,KORE 104 Ti W,"156,163,170,177","16,7 @ Length 177",133/105/126 @ Length 177,,114655
