
article,ver,lang,name,category,sizes,colors,skills,flex
344309,,EN,RX ONE,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",black,"Beginner, Intermediate",3
344201,,EN,RX TWO,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",black,"Beginner, Intermediate",5
344324,,EN,RX ONE,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",white,"Beginner, Intermediate",3
344335,,EN,RX ONE,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",petrol,"Beginner, Intermediate",3
341309,,EN,NX ONE,UNISEX,"M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",black,"Beginner, Intermediate",3
341518,,EN,NX LGCY,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",black,"Beginner, Intermediate",3
341211,,EN,FX ONE LYT,UNISEX,"S (22.5-25.0), M (25.5-28.0), L (28.5-31.5)",black,"Beginner, Intermediate",4
340213,,EN,NX TEAM,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",forest green,Expert,6-8
341233,,EN,FX ONE LYT,UNISEX,"S (22.5-25.0), M (25.5-28.0), L (28.5-31.5)",anthracite,"Beginner, Intermediate",4
341244,,EN,FX ONE LYT,UNISEX,"S (22.5-25.0), M (25.5-28.0), L (28.5-31.5)",black/white,"Beginner, Intermediate",4
341535,,EN,NX LGCY,UNISEX,"S (22.5-24.5), M (25.0-27.0), L (27.5-29.0), XL (29.5-31.5)",white,"Beginner, Intermediate",3
344612,,EN,RX FAY I,WOMEN,"S (22.5-24.5), M (25.0-27.0)",white,"Beginner, Intermediate",3
341709,,EN,NX FAY I,WOMEN,"S (22.5-24.5), M (25.0-27.0)",black,"Beginner, Intermediate",3
341744,,EN,FX FAY I LYT,WOMEN,"S (22.5-25.0), M (25.5-28.0)",black,"Beginner, Intermediate",4
341765,,EN,FX FAY I LYT,WOMEN,"S (22.5-25.0), M (25.5-28.0)",ice,"Beginner, Intermediate",4
343713,,EN,P KID,JUNIOR,XS (15.5-20.5),black,Beginner,1
343644,,EN,LYTRIDE JR,JUNIOR,"XS (18.5-21.5), S (22.5-25.5)",black,Beginner,2
