
article,ver,lang,name,category,shape,skill,camber,architecture,graphene_or_bamboo,flex,base
330035,,EN,E.B.I. LYT,UNISEX,Long Directional,Advanced,New School Camber,LYT Board Architecture w. Graphene,Graphene,6,Sintered Base
330125,,EN,DAY LYT,UNISEX,Long Directional,Advanced,New School Camber,LYT Board Architecture w. Bamboo,Bamboo,6,Sintered Base
33000201,,EN,VOY SPLITBOARD SET (incl. skins),UNISEX,Long Directional,Advanced,Hybrid Camber Pop,Easy Board Architecture,,6,Sintered Base
330154,,EN,GAMECHANGER,UNISEX,Long Directional,Advanced,Hybrid Camber Pop,Easy Board Architecture,,6,Extruded Base
331614,,EN,TRUE 2.0,UNISEX,Twin Directional,Beginner,Hybrid Camber Pop,Easy Board Architecture,,5,Extruded Base
330215,,EN,INCITE LYT,UNISEX,True Twin,Advanced,Classic Camber,LYT Board Architecture w. Graphene,Graphene,5,Sintered Base
330335,,EN,ANYTHING LYT,UNISEX,Asymmetric Shape,Advanced,Hybrid Camber DCT 2.0,LYT Board Architecture w. Graphene,Graphene,6,Extruded Base
330415,,EN,DAYMAKER LYT,UNISEX,Twin Directional,Advanced,Hybrid Camber DCT,LYT Board Architecture,,5,Extruded Base
330435,,EN,DAYMAKER,UNISEX,Twin Directional,Intermediate,Hybrid Camber DCT,Easy Board Architecture,,5,Extruded Base
331115,,EN,BEAM,UNISEX,True Twin,Intermediate,Classic Camber,Easy Board Architecture,,5,Sintered Base
331605,,EN,TRUE 2.0,UNISEX,Twin Directional,Beginner,New School Camber,Easy Board Architecture,,5,Extruded Base
333515,,EN,RUSH,UNISEX,True Twin,Beginner,Flat Rocker,Easy Board Architecture,,4,Extruded Base
333535,,EN,TRANSIT,UNISEX,True Twin,Beginner,Rocker,Easy Board Architecture,,4,Extruded Base
331814,,EN,PRIDE 2.0,WOMEN,Twin Directional,Beginner,Hybrid Camber Pop,Easy Board Architecture,,4,Extruded Base
331705,,EN,SOLACE,WOMEN,True Twin,Intermediate,Classic Camber,Easy Board Architecture,,5,Sintered Base
330715,,EN,EVERYTHING LYT,WOMEN,Asymmetric Shape,Advanced,Hybrid Camber DCT 2.0,LYT Board Architecture w. Graphene,Graphene,6,Extruded Base
330815,,EN,SHINE LYT,WOMEN,Twin Directional,Advanced,Hybrid Camber DCT,LYT Board Architecture,,5,Extruded Base
331805,,EN,PRIDE 2.0,WOMEN,Twin Directional,Beginner,New School Camber,Easy Board Architecture,,4,Extruded Base
333705,,EN,STELLA,WOMEN,True Twin,Beginner,Flat Rocker,Easy Board Architecture,,3,Extruded Base
333735,,EN,FOUNTAIN,WOMEN,True Twin,Beginner,Rocker,Easy Board Architecture,,3,Extruded Base
336333,,EN,DEFY YOUTH,JUNIOR,Twin Directional,Intermediate,Hybrid Camber Pop,Easy Board Architecture,,3,Extruded Base
336813,,EN,ROWDY KID,JUNIOR,True Twin,Beginner,Rocker,Cap Board Architecture,,2,Extruded Base
336634,,EN,ROWDY FLEX,JUNIOR,True Twin,,Rocker,Cap Board Architecture,,2,Extruded Base
