
article,ver,lang,name,category,sizes,colors,flex,forward_lean
353613,,EN,LEGACY BOA,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",black,5,7°
350104,,EN,TEAM BOA HYBRID LIQUID FIT,UNISEX,"MON (cm) 23.0 - 31.5, EUR 36.0 - 48.0, US 4.5 - 13.5",olive,9,11°
353624,,EN,LEGACY BOA,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",olive,5,7°
353814,,EN,LEGACY,UNISEX,"MON (cm) 23.0 - 31.5, EUR 36.0 - 48.0, US 4.5 - 13.5",black,5,7°
350205,,EN,QUANTOS BOA FOCUS,UNISEX,"MON (cm) 23.0 - 31.5, EUR 36.0 - 48.0, US 4.5 - 13.5",black,8,9°
350315,,EN,RAKER BOA ZONAL,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",black,7,7°
350445,,EN,TRIGGER BOA FOCUS,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",black,6,7°
350414,,EN,TRIGGER LYT BOA FOCUS,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",charcoal,6,7°
353305,,EN,GALAXY BOA COILER,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",black,6,7°
353425,,EN,REV BOA COILER,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",black,5,7°
353435,,EN,REV BOA COILER,UNISEX,"MON (cm) 24.0 - 31.5, EUR 37.0 - 48.0, US 5.5 - 13.5",stone,5,7°
354613,,EN,LEGACY W BOA,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",black,4,7°
354104,,EN,JILL LYT BOA FOCUS,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",,6,7°
354224,,EN,TIARA LYT BOA FOCUS,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",mauve,5,7°
354225,,EN,TIARA  BOA FOCUS,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",black,5,7°
354305,,EN,TESS BOA COILER,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",black,5,7°
354415,,EN,EVE BOA COILER,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",black,4,7°
354435,,EN,EVE BOA COILER,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",beige,4,7°
354625,,EN,LEGACY W BOA,WOMEN,"MON (cm) 22.5 - 27.5, EUR 35.0 - 42.5, US 5.5 – 10.5",white,4,7°
355313,,EN,JR BOA,JUNIOR,"EUR (cm) 18.5 - 25.5, EUR 29.0 - 39.5, US 1.0 - 7.0",black,3,7°
355613,,EN,KID LYT VELCRO,JUNIOR,"MON (cm) 15.5 - 20.5, EUR 25.0 - 32.0, US 9.0 - 2.0",black,1,7°
355114,,EN,FH LYT BOA,JUNIOR,"MON (cm) 21.5 - 26.5, EUR 33.5 - 41.0, US 3.0 - 8.5",black,4,7°
